model.name,macs,params,memory_bytes,flops,acc@top1,acc@top5,error@top1,error@top5,acc@top1_static,acc@top5_static,error@top1_static,error@top5_static,mce@top1,mce@top5,rel_mce@top1,rel_mce@top5,mean_flip_rate,mean_flip_probability,fsgm_drop_acc_2_eps_0.0001,fsgm_drop_acc_inf_eps_0.0001,pgd_drop_acc_2_eps_0.0001,pgd_drop_acc_inf_eps_0.0001,traing_energy_consumption_kwh,eps,gpu_latency_gtx970,gpu_energy_watt_seconds_gtx970,gpu_latency_a100,gpu_energy_watt_seconds_a100,gpu_latency_rtx_quattro5000,gpu_energy_watt_seconds_rtx_quattro5000,cpu_latency_xeon_e31231,cpu_latency_xeon_w2155,cpu_avg_watt_xeon_w2155,cpu_watt_seconds_xeon_w2155,cpu_latency_i7-10610,cpu_avg_watt_i7-10610,cpu_watt_seconds_i7-10610,host_memory_bytes_max_mean_i7-10610,host_memory_bytes_max_std_i7-10610,host_memory_bytes_max_mean_xeon_w2155,host_memory_bytes_max_std_xeon_w2155,host_memory_bytes_max_mean_ws020,host_memory_bytes_max_std_ws020,device_memory_bytes_max_mean_ws020,device_memory_bytes_max_std_ws020,host_memory_bytes_max_mean_a100,host_memory_bytes_max_std_a100,device_memory_bytes_max_mean_a100,device_memory_bytes_max_std_a100
shufflenet_v2_x0_5,42524256.0,1366792.0,5467168.0,85048512.0,60.548,81.75,39.452,18.25,60.552,81.746,39.448,18.254000000000005,0.974651648036852,0.9719813897242856,1.052569753113196,1.0238025400746775,,,,,,,,,0.010726625919342,0.7695693180224609,0.010188775062561,0.7774890459326171,0.0053584632873535,0.3082001550876465,0.0278624367713928,0.0239308204,40.277470165627925,0.9638729047,0.02698226,15.779845350241231,0.42577589,639453593.6,240649.6733374887,1296273408.0,0.0,4548354867.2,80281.59999999999,1607335936.0,0.0,4942752153.6,2006.6219972879796,2149580800.0,0.0
shufflenet_v2_x1_0,148808392.0,2278604.0,9114416.0,297616784.0,69.36,88.318,30.64,11.682000000000002,69.362,88.316,30.638000000000005,11.683999999999997,0.8867977145729254,0.825809501096831,1.1078604721465966,0.9689994505348573,,,,,,,,,0.0112557721138,0.8462821399414063,0.0097381329536438,0.687548870419922,0.0051502108573913,0.2811866474414062,0.052365219593048,0.0290946625,40.74827737218124,1.1855573776,0.03292628,13.70346999418094,0.45120429,640393216.0,0.0,1296273408.0,0.0,4548395008.0,0.0,1607335936.0,0.0,4942755430.4,3276.8,2149580800.0,0.0
shufflenet_v2_x1_5,301294432.0,3503624.0,14014496.0,602588864.0,,,,,,,,,,,,,,,,,,,,,0.0109980273246765,0.8213986614575197,0.0092713236808776,0.5985470008959961,0.0053122909069061,0.2987817385371094,0.0667489790916442,0.0391127659,41.182955074522106,1.6107792809,,,,,,,,,,,,,,,
shufflenet_v2_x2_0,590741448.0,7393996.0,29575984.0,1181482896.0,,,,,,,,,,,,,,,,,,,,,0.0114947438240051,0.967352803996582,0.0092438769340515,0.589822018071289,0.0069884927272796,0.4062655900393067,0.1011840009689331,0.055967556,42.09208108354776,2.3557909052,,,,,,,,,,,,,,,
squeezenet1_0,823440824.0,1248424.0,4993696.0,1646881648.0,,,,,,,,,,,,,,,,,,,,,0.0031973123550415,0.3006389716186523,0.0032781243324279,0.2201686407861328,0.0018018364906311,0.162927910140625,0.0430646753311157,0.0255268188,45.647488119436176,1.1652351579,0.03379611,14.28130574791004,0.48265258,653977190.4,54067.19999999999,,,,,,,,,,
squeezenet1_1,351911288.0,1235496.0,4941984.0,703822576.0,,,,,,,,,,,,,,,,,,,,,0.0031780934333801,0.2888218189624024,0.0034525322914123,0.2325594060229492,0.001910349369049,0.160752644901123,0.0249212026596069,0.0144691308999999,44.68717814972564,0.6465846302,0.01929691,13.759586897591376,0.26551751,654328627.2,397311.15546302,,,,,,,,,,
vgg11,7616566272.0,132863336.0,531453344.0,15233132544.0,69.022,88.628,30.977999999999994,11.372,69.02,88.628,30.980000000000004,11.372,0.922622229764588,0.8687362401962808,1.1819876353889671,1.0447678620734215,0.5754006673878183,0.0604929333333332,,,,,18.12,1.5625e-05,0.0075476598739624,0.996729021999512,0.0015852546691894,0.0532992267333984,0.0032155318260192,0.612658684263916,0.2331105208396911,0.1352313097,47.25938605695542,6.3909486721,0.1941678999999999,14.184232254662074,2.75412259,1271178035.2,230139331.84706855,1815484006.4,625482.6704175265,5089335705.6,190682653.52554595,2018377728.0,0.0,5823623987.2,43146.26156876166,2684354560.0,0.0
vgg11_bn,7631418368.0,132868840.0,531475360.0,15262836736.0,70.372,89.81,29.628,10.189999999999998,70.37,89.81,29.629999999999995,10.189999999999998,0.887495868979559,0.8119144139309895,1.1391890492255914,0.9850841291190594,,,,,,,,,0.0092680025100708,1.2422801677392576,0.0017183017730712,0.067153266328125,0.0037441956996917,0.7234644995078124,0.2637376999855041,0.1619264976,47.23354911617628,7.6483631776,0.22394464,13.955494134621842,3.12525811,1562305331.2,264874.1036420133,2215389593.6,198395930.73881543,5161158246.4,201699638.55979016,2018377728.0,0.0,5741543424.0,164417536.84693456,2684354560.0,0.0
vgg13,11320759296.0,133047848.0,532191392.0,22641518592.0,69.928,89.248,30.072000000000003,10.751999999999995,69.928,89.246,30.072000000000003,10.754000000000005,0.9265286392157728,0.8772597837267525,1.21891337922893,1.076112646241389,,,,,,,,,0.0091158127784729,1.4195849396508788,0.0016373920440673,0.082720245727539,0.0039818079471588,0.8281616790515137,0.3173012208938598,0.1745415513,48.45772815816608,8.4578870452,0.26685669,14.581324792719268,3.89112407,1378914304.0,232848944.6200849,2122731520.0,237564450.80361217,5079575756.8,164557307.25886917,2018377728.0,0.0,5741764608.0,164427799.8427823,2684354560.0,0.0
vgg13_bn,11345245184.0,133053736.0,532214944.0,22690490368.0,71.584,90.372,28.415999999999997,9.628,71.586,90.374,28.414,9.626000000000005,0.8864980502764992,0.8107164111785337,1.1739808682685944,0.9994708159700872,,,,,,,,,0.0121594643592834,1.8162926009570317,0.0022576332092285,0.2330118127539062,0.0049416341781616,0.9661261197290038,0.3715773200988769,0.2156607454,48.05106046897675,10.362727518,0.31325193,14.131299238922487,4.42665676,1572882841.6,265547.189660595,2117061836.8,241919197.8765196,5244322611.2,201360179.088352,2018377728.0,0.0,5824094208.0,12423.78312753406,2684354560.0,0.0
vgg16,15483862016.0,138357544.0,553430176.0,30967724032.0,71.59,90.384,28.409999999999997,9.616,71.592,90.382,28.408,9.617999999999995,0.8912872392900975,0.8223393433520952,1.1846145877837284,1.0183684098984314,,,,,,,,,0.0121768069267272,1.95007865487793,0.0021700310707092,0.1864891168359375,0.004893159866333,1.0404466157336425,0.4164049458503723,0.2189442023,48.72463554519069,10.6679764618,0.34687029,14.83874565907619,5.14712001,1412424499.2,248032909.48809716,2048740556.8,248628578.1739938,5244969779.2,201545908.29992,2018377728.0,0.0,5577538764.8,201365186.3573928,2684354560.0,0.0
vgg16_bn,15510957056.0,138365992.0,553463968.0,31021914112.0,73.358,91.516,26.641999999999996,8.483999999999995,73.36,91.516,26.64,8.483999999999995,0.8386836003572687,0.7386246883399247,1.1163951727241532,0.9176528082910196,,,,,,,,,0.0147372794151306,2.2600102087548826,0.0028659462928771,0.2913154806005859,0.0059228420257568,1.191187466518555,0.47101318359375,0.2629064102,48.61323308692761,12.780730599100002,0.40677089,14.83086486351076,6.0327641000000005,1640309555.2,108134.4,2253021184.0,201148523.35122827,5328002252.8,164503142.46884137,2018377728.0,0.0,5824249856.0,26034.58327686464,2684354560.0,0.0
vgg19,19646964736.0,143667240.0,574668960.0,39293929472.0,72.38,90.874,27.620000000000005,9.126000000000005,72.376,90.876,27.623999999999995,9.123999999999995,0.880153465448281,0.8055018861589116,1.1813121309620624,1.0041672022337342,,,,,,,,,0.0143052101135253,2.350677338569336,0.0027247524261474,0.2742865985620117,0.0058098199367523,1.276323989822754,0.5099798226356507,0.2596522689,49.102293002146766,12.7495217862,0.42571284,15.15564167620596,6.45195126,1554510643.2,191216025.6,2076221440.0,257942540.908895,5090520268.8,244384629.12268785,2018377728.0,0.0,5824448102.4,180941.23463445253,2684354560.0,0.0
vgg19_bn,19676668928.0,143678248.0,574712992.0,39353337856.0,74.218,91.846,25.781999999999996,8.153999999999996,74.218,91.842,25.781999999999996,8.158000000000001,0.8164065834651988,0.7038052831587908,1.088711227814413,0.8704899985242943,,,,,,,,,0.0179180765151977,2.7975468381982425,0.0034827327728271,0.4246778003784179,0.0068882944583892,1.460321486268555,0.5739833688735962,0.3101633674,48.9518156746708,15.18305999,0.48500696,14.71813992112608,7.138400299999999,1650066227.2,64211.90391321534,2186757734.4,251497961.40809163,5161356492.8,252199686.4868716,2018377728.0,0.0,5824768409.6,30166.1432045928,2684354560.0,0.0
wide_resnet101_2,22795601920.0,126886696.0,507546784.0,45591203840.0,78.848,94.284,21.152,5.715999999999994,78.848,94.284,21.152,5.715999999999994,0.6792444214327757,0.5291494947184194,0.910820214482634,0.6633093091860268,,,,,,,,,0.0364025354385375,5.727738376564941,0.0170493912696838,2.284348280795898,0.0130949311256408,2.52156137865039,0.9314155864715576,0.5056702470000001,46.718338898827874,23.6240739704,0.7550363900000001,14.082175800824643,10.63255518,1107936870.4,1842419.9565425469,1948160000.0,2648244.401588947,4843087462.4,1552667.343851554,2018377728.0,0.0,5198471168.0,1624771.219534369,2684354560.0,0.0
wide_resnet50_2,11426924544.0,68883240.0,275532960.0,22853849088.0,78.472,94.086,21.528000000000006,5.9140000000000015,78.468,94.086,21.531999999999996,5.9140000000000015,0.7130007904873296,0.5748304844539063,0.9747172710308444,0.7279324484174966,,,,,,,,,0.0194750094413757,2.918031227023926,0.0087515211105346,1.1503103312304688,0.0072274029254913,1.342836375772217,0.4899771189689636,0.2578979106,47.09916264207222,12.146775636400005,0.38868387,13.66971431050123,5.31319746,790789324.8,4500853.139916939,1602020147.2,214630.4,4549877760.0,22054711.687232222,2018377728.0,0.0,4893342924.8,39055593.16415769,2684354560.0,0.0
